	Survey End Date	CON (%)	LAB (%)	LD (%)	UKIP (%)	Grn (%)	Con Lead
YouGov/Sun	2012-05-01	32	41	9	8		-9
YouGov/Sun	2012-04-30	35	42	8	7		-7
Opinium/	2012-04-30	32	39	8	10		-7
Survation/Daily Mirror	2012-04-27	30	37	13	9		-7
ComRes/Independent (O)	2012-04-27	34	39	10	9		-5
YouGov/Sunday Times	2012-04-27	29	40	11	10		-11
YouGov/Sun	2012-04-26	31	43	9	9		-12
YouGov/Sun	2012-04-25	32	43	9	8		-11
YouGov/Sun	2012-04-24	32	43	8	8		-11
YouGov/Sun	2012-04-23	32	45	8	7		-13
Opinium/	2012-04-23	31	38	11	8		-7
Ipsos-MORI/Evening Standard	2012-04-23	35	38	12	4		-3
ICM/Guardian	2012-04-22	33	41	15	3		-8
YouGov/Sunday Times	2012-04-20	33	41	11	8		-8
ComRes/Independent on Sunday (O)	2012-04-19	34	40	11	6		-6
YouGov/Sun	2012-04-19	32	45	8	7		-13
YouGov/Sun	2012-04-18	32	41	10	8		-9
YouGov/Sun	2012-04-17	32	41	8	9		-9
Opinium/	2012-04-16	32	37	9	10		-5
YouGov/Sun	2012-04-16	32	43	8	9		-11
Populus/Times	2012-04-15	33	42	11	4		-9
Angus Reid/	2012-04-13	29	41	11	8		-12
YouGov/Sunday Times	2012-04-13	33	39	10			-6
YouGov/Sun	2012-04-12	35	41	9			-6
TNS BMRB/	2012-04-11	32	42	10			-10
YouGov/Sun	2012-04-11	35	41	8			-6
YouGov/Sun	2012-04-10	36	40	9			-4
Survation/Mail on Sunday	2012-04-06	30	35	11			-5
YouGov/Sun	2012-04-05	33	42	8			-9
YouGov/Sun	2012-04-04	32	42	9			-10
YouGov/Sun	2012-04-03	34	42	8			-8
YouGov/Sun	2012-04-02	33	43	8			-10
YouGov/Sunday Times	2012-03-31	33	42	8			-9
YouGov/Sun	2012-03-29	34	44	8			-10
YouGov/Sun	2012-03-28	34	44	10			-10
YouGov/Sun	2012-03-27	33	43	9			-10
YouGov/Sun	2012-03-26	35	42	9			-7
ComRes/Independent	2012-03-26	33	43	11			-10
Populus/Times	2012-03-25	34	38	11			-4
Survation/Mail on Sunday	2012-03-24	31	39	11			-8
ICM/Sunday Telegraph	2012-03-23	37	38	13			-1
YouGov/Sunday Times	2012-03-23	35	42	10			-7
YouGov/Sun	2012-03-22	34	42	9			-8
Opinium/	2012-03-21	34	39	8	9		-5
YouGov/Sun	2012-03-21	36	41	10			-5
YouGov/Sun	2012-03-20	35	43	9			-8
Ipsos-MORI/Evening Standard	2012-03-19	36	37	11			-1
YouGov/Sun	2012-03-19	36	42	9			-6
ICM/Guardian	2012-03-18	39	36	15			3
YouGov/Sunday Times	2012-03-16	38	40	9			-2
ComRes/Independent on Sunday (O)	2012-03-15	37	40	10			-3
YouGov/Sun	2012-03-15	37	42	8			-5
YouGov/Sun	2012-03-14	38	41	9			-3
YouGov/Sun	2012-03-13	36	43	9			-7
YouGov/Sun	2012-03-12	36	41	9			-5
Opinium/	2012-03-12	38	36	10			2
YouGov/Sunday Times	2012-03-09	37	42	9			-5
YouGov/Sun	2012-03-08	37	42	8			-5
Angus Reid/	2012-03-07	32	40	10			-8
YouGov/Sun	2012-03-07	38	41	9			-3
YouGov/Sun	2012-03-06	37	41	9			-4
YouGov/Sun	2012-03-05	36	41	11			-5
TNS BMRB/	2012-03-05	35	38	11			-3
YouGov/Sunday Times	2012-03-02	40	39	9			1
YouGov/Sun	2012-03-01	39	39	8			0
YouGov/Sun	2012-02-29	38	40	9			-2
YouGov/Sun	2012-02-28	40	39	9			1
YouGov/Sun	2012-02-27	38	40	9			-2
Ipsos-MORI/Reuters	2012-02-27	35	41	12			-6
ComRes/Independent	2012-02-26	37	40	13			-3
YouGov/Sunday Times	2012-02-24	38	40	10			-2
Opinium/	2012-02-23	35	39	10			-4
YouGov/Sun	2012-02-23	39	38	10			1
YouGov/Sun	2012-02-22	38	40	8			-2
YouGov/Sun	2012-02-21	37	41	9			-4
YouGov/Sun	2012-02-20	39	38	10			1
Populus/Times	2012-02-19	37	39	11			-2
ICM/Guardian	2012-02-19	36	37	14			-1
YouGov/Sunday Times	2012-02-17	37	41	7			-4
ComRes/Independent on Sunday (O)	2012-02-16	39	38	10			1
YouGov/Sun	2012-02-16	39	39	9			0
YouGov/Sun	2012-02-15	39	40	9			-1
YouGov/Sun	2012-02-14	40	39	9			1
YouGov/Sun	2012-02-13	38	42	9			-4
Opinium/	2012-02-13	36	36	10			0
YouGov/Sunday Times	2012-02-10	38	39	9			-1
YouGov/Sun	2012-02-09	38	41	9			-3
YouGov/Sun	2012-02-08	40	38	10			2
YouGov/Sun	2012-02-07	37	42	9			-5
YouGov/Sun	2012-02-06	41	40	8			1
YouGov/Sunday Times	2012-02-03	39	40	9			-1
YouGov/Sun	2012-02-02	39	41	8			-2
YouGov/Sun	2012-02-01	38	40	8			-2
YouGov/Sun	2012-01-31	39	40	9			-1
YouGov/Sun	2012-01-30	40	38	10			2
Opinium/	2012-01-30	38	36	8			2
ComRes/Independent	2012-01-29	37	38	14			-1
YouGov/Sunday Times	2012-01-27	39	40	8			-1
YouGov/Sun	2012-01-26	39	40	9			-1
YouGov/Sun	2012-01-25	38	40	9			-2
YouGov/Sun	2012-01-24	40	38	9			2
TNS BMRB/	2012-01-23	37	40	10			-3
Angus Reid/	2012-01-23	35	37	11			-2
YouGov/Sun	2012-01-23	39	40	8			-1
Ipsos-MORI/Reuters	2012-01-23	38	38	12			0
Populus/Times	2012-01-22	37	38	13			-1
ICM/Guardian	2012-01-22	40	35	16			5
YouGov/Sunday Times	2012-01-20	41	36	9			5
ComRes/Independent on Sunday (O)	2012-01-19	38	38	11			0
YouGov/Sun	2012-01-19	41	38	8			3
YouGov/Sun	2012-01-18	40	39	7			1
YouGov/Sun	2012-01-17	39	40	8			-1
YouGov/Sun	2012-01-16	40	40	9			0
Opinium/	2012-01-15	37	37	9			0
YouGov/Sunday Times	2012-01-13	38	40	9			-2
YouGov/Sun	2012-01-12	41	40	8			1
YouGov/Sun	2012-01-11	40	38	10			2
YouGov/Sun	2012-01-10	40	40	10			0
YouGov/Sun	2012-01-09	39	41	10			-2
YouGov/Sunday Times	2012-01-06	38	40	11			-2
Opinium/	2012-01-05	36	37	9			-1
YouGov/Sun	2012-01-05	39	41	11			-2
YouGov/Sun	2012-01-04	38	42	10			-4
YouGov/Sun	2012-01-03	39	41	9			-2
YouGov/Sun	2011-12-22	40	40	9			0
ICM/Guardian	2011-12-21	37	36	15			1
YouGov/Sun	2011-12-21	40	40	10			0
YouGov/Sun	2011-12-20	39	40	10			-1
TNS BMRB/	2011-12-19	35	38	11			-3
YouGov/Sun	2011-12-19	38	42	9			-4
Populus/Times	2011-12-18	35	39	12			-4
YouGov/Sunday Times	2011-12-16	39	42	9			-3
ICM/Sunday Telegraph	2011-12-15	40	34	14			6
YouGov/Sun	2011-12-15	41	40	10			1
YouGov/Sun	2011-12-14	40	38	10			2
YouGov/Sun	2011-12-13	41	39	10			2
Ipsos-MORI/Reuters	2011-12-12	41	39	11			2
YouGov/Sun	2011-12-12	39	40	10			-1
ComRes/Independent	2011-12-11	38	38	12			0
Survation/Mail on Sunday	2011-12-10	35	35	14			0
YouGov/Sunday Times	2011-12-09	38	39	11			-1
ComRes/Independent on Sunday (O)	2011-12-08	36	40	10			-4
YouGov/Sun	2011-12-08	36	41	10			-5
YouGov/Sun	2011-12-07	35	42	9			-7
YouGov/Sun	2011-12-06	37	41	10			-4
YouGov/Sun	2011-12-05	36	42	11			-6
BPIX/Mail on Sunday	2011-12-03	36	41	11			-5
YouGov/Sunday Times	2011-12-02	35	43	9			-8
YouGov/Sun	2011-12-01	36	41	11			-5
ICM/Sunday Telegraph	2011-11-30	38	36	14			2
YouGov/Sun	2011-11-30	37	42	9			-5
YouGov/Sun	2011-11-29	38	41	9			-3
YouGov/Sun	2011-11-28	37	39	9			-2
TNS BMRB/	2011-11-28	36	39	9			-3
ComRes/Independent	2011-11-27	37	39	10			-2
Survation/Daily Star	2011-11-25	32	34	12			-2
YouGov/Sunday Times	2011-11-25	34	43	11			-9
YouGov/Sun	2011-11-24	35	40	9			-5
YouGov/Sun	2011-11-23	35	40	11			-5
YouGov/Sun	2011-11-22	35	42	9			-7
Opinium/	2011-11-21	36	37	9			-1
Ipsos-MORI/Reuters	2011-11-21	34	41	12			-7
YouGov/Sun	2011-11-21	36	40	9			-4
Populus/Times	2011-11-20	33	41	13			-8
ICM/Guardian	2011-11-20	36	38	14			-2
ComRes/Independent on Sunday (O)	2011-11-18	35	39	11			-4
YouGov/Sunday Times	2011-11-18	36	40	9			-4
YouGov/Sun	2011-11-17	34	40	11			-6
YouGov/Sun	2011-11-16	36	41	10			-5
YouGov/Sun	2011-11-15	36	42	7			-6
YouGov/Sun	2011-11-14	37	40	9			-3
YouGov/Sunday Times	2011-11-11	36	41	9			-5
YouGov/Sun	2011-11-10	35	42	8			-7
YouGov/Sun	2011-11-09	36	40	10			-4
Survation/Unite	2011-11-09	38	39	12			-1
YouGov/Sun	2011-11-08	35	40	10			-5
YouGov/Sun	2011-11-07	36	41	9			-5
Opinium/	2011-11-07	34	38	10			-4
YouGov/Sunday Times	2011-11-04	35	41	9			-6
YouGov/Sun	2011-11-03	36	41	8			-5
YouGov/Sun	2011-11-02	37	41	8			-4
YouGov/Sun	2011-11-01	35	41	9			-6
TNS BMRB/	2011-10-31	36	37	11			-1
YouGov/Sun	2011-10-31	39	41	8			-2
ComRes/Independent	2011-10-30	34	38	14			-4
YouGov/Sunday Times	2011-10-28	36	39	8			-3
YouGov/Sun	2011-10-27	35	42	9			-7
YouGov/Sun	2011-10-26	35	41	10			-6
YouGov/Sun	2011-10-25	36	40	9			-4
Ipsos-MORI/Reuters	2011-10-24	34	38	12			-4
Opinium/	2011-10-24	33	39	9			-6
YouGov/Sun	2011-10-24	36	40	9			-4
ICM/Guardian	2011-10-23	35	39	13			-4
YouGov/Sunday Times	2011-10-21	36	38	10			-2
YouGov/Sun	2011-10-20	36	41	10			-5
YouGov/Sun	2011-10-19	35	41	9			-6
YouGov/Sun	2011-10-18	38	42	9			-4
YouGov/Sun	2011-10-17	37	40	9			-3
Populus/Times	2011-10-16	33	41	8			-8
YouGov/Sunday Times	2011-10-14	39	42	8			-3
ComRes/Independent on Sunday (O)	2011-10-13	37	39	10			-2
YouGov/Sun	2011-10-13	37	42	9			-5
YouGov/Sun	2011-10-12	36	42	9			-6
YouGov/Sun	2011-10-11	37	41	8			-4
Opinium/	2011-10-10	36	37	8			-1
YouGov/Sun	2011-10-10	36	40	11			-4
YouGov/Sunday Times	2011-10-07	38	42	9			-4
YouGov/Sun	2011-10-06	37	41	10			-4
YouGov/Sun	2011-10-05	37	41	9			-4
YouGov/Sun	2011-10-04	38	42	9			-4
YouGov/Sun	2011-10-03	37	42	9			-5
Opinium/	2011-09-30	33	40	9			-7
YouGov/Sunday Times	2011-09-30	36	42	10			-6
YouGov/Sun	2011-09-29	38	41	9			-3
YouGov/Sun	2011-09-28	37	43	9			-6
YouGov/Sun	2011-09-27	37	43	8			-6
YouGov/Sun	2011-09-26	39	41	8			-2
ComRes/Independent	2011-09-24	37	36	12			1
YouGov/Sunday Times	2011-09-23	36	42	11			-6
YouGov/Sun	2011-09-22	36	42	10			-6
ICM/Guardian	2011-09-21	37	38	14			-1
YouGov/Sun	2011-09-21	35	41	9			-6
YouGov/Sun	2011-09-20	35	41	10			-6
YouGov/Sun	2011-09-19	36	42	10			-6
ComRes/Independent on Sunday (O)	2011-09-16	38	38	11			0
YouGov/Sunday Times	2011-09-16	36	42	9			-6
Opinium/	2011-09-15	33	36	9			0
YouGov/Sun	2011-09-15	38	41	9			-3
YouGov/Sun	2011-09-14	37	41	10			-4
YouGov/Sun	2011-09-13	35	43	10			-8
YouGov/Sun	2011-09-12	37	41	10			-4
Ipsos-MORI/Reuters	2011-09-12	35	37	13			-2
Populus/Times	2011-09-11	34	38	12			-4
YouGov/Sunday Times	2011-09-09	38	41	9			-4
YouGov/Sun	2011-09-08	36	42	10			-6
YouGov/Sun	2011-09-07	36	42	9			-6
YouGov/Sun	2011-09-06	38	40	9			-2
YouGov/Sun	2011-09-05	37	43	9			-6
Opinium/	2011-09-05	36	37	9			-1
ComRes/Independent	2011-09-04	37	38	11			-1
Angus Reid/	2011-09-02	33	39	11			-6
YouGov/Sunday Times	2011-09-02	38	39	10			-1
YouGov/Sun	2011-09-01	36	42	10			-6
YouGov/Sun	2011-08-31	37	42	10			-5
YouGov/Sun	2011-08-30	39	40	10			-1
YouGov/Sunday Times	2011-08-26	38	41	9			-3
YouGov/Sun	2011-08-25	37	42	9			-5
YouGov/Sun	2011-08-24	36	43	9			-7
YouGov/Sun	2011-08-23	37	44	9			-7
YouGov/Sun	2011-08-22	35	44	9			-9
Ipsos-MORI/Reuters	2011-08-22	34	40	15			-6
ICM/Guardian	2011-08-21	37	36	17			1
Opinium/	2011-08-19	37	38	9			-1
YouGov/Sunday Times	2011-08-19	36	40	11			-4
ComRes/Independent on Sunday (O)	2011-08-18	38	40	11			-2
YouGov/Sun	2011-08-18	36	44	9			-8
YouGov/Sun	2011-08-17	35	44	9			-9
YouGov/Sun	2011-08-16	36	42	10			-6
YouGov/Sun	2011-08-15	35	43	9			-8
YouGov/Sunday Times	2011-08-12	36	43	9			-7
Opinium/	2011-08-11	34	38	9			-4
YouGov/Sun	2011-08-11	35	43	9			-8
YouGov/Sun	2011-08-10	36	43	9			-7
YouGov/Sun	2011-08-09	36	43	9			-7
YouGov/Sun	2011-08-08	36	44	9			-8
YouGov/Sunday Times	2011-08-05	35	44	9			-9
YouGov/Sun	2011-08-04	36	42	10			-6
YouGov/Sun	2011-08-03	35	43	10			-8
YouGov/Sun	2011-08-02	36	45	8			-9
YouGov/Sun	2011-08-01	35	42	11			-7
YouGov/Sunday Times	2011-07-29	35	44	9			-9
YouGov/Sun	2011-07-28	36	42	11			-6
YouGov/Sun	2011-07-27	36	43	8			-7
YouGov/Sun	2011-07-26	35	44	9			-9
YouGov/Sun	2011-07-25	37	41	10			-4
ComRes/Independent	2011-07-24	34	40	13			-6
YouGov/Sunday Times	2011-07-22	35	43	10			-8
YouGov/Sun	2011-07-21	36	44	9			-8
Angus Reid/	2011-07-20	34	41	10			-7
YouGov/Sun	2011-07-20	35	43	11			-8
YouGov/Sun	2011-07-19	36	43	8			-7
Ipsos-MORI/Reuters	2011-07-18	32	39	11			-7
YouGov/Sun	2011-07-18	37	42	9			-5
Populus/Times	2011-07-17	34	39	11			-5
ICM/Guardian	2011-07-17	37	36	16			1
YouGov/Sunday Times	2011-07-15	36	42	11			-6
ComRes/Independent on Sunday (O)	2011-07-14	36	40	10			-4
YouGov/Sun	2011-07-14	36	43	9			-7
YouGov/Sun	2011-07-13	35	43	10			-8
YouGov/Sun	2011-07-12	37	42	9			-5
YouGov/Sun	2011-07-11	35	43	10			-8
YouGov/Sunday Times	2011-07-08	35	44	8			-9
YouGov/Sun	2011-07-07	37	43	8			-6
YouGov/Sun	2011-07-06	35	43	9			-8
YouGov/Sun	2011-07-05	35	43	10			-8
YouGov/Sun	2011-07-04	37	43	9			-6
YouGov/Sunday Times	2011-07-01	36	42	9			-6
YouGov/Sun	2011-06-30	37	42	8			-5
YouGov/Sun	2011-06-29	37	41	10			-4
YouGov/Sun	2011-06-28	36	43	8			-7
YouGov/Sun	2011-06-27	37	42	10			-5
ComRes/Independent	2011-06-26	36	40	11			-4
YouGov/Sunday Times	2011-06-24	36	43	9			-7
YouGov/Sun	2011-06-23	37	42	9			-5
YouGov/Sun	2011-06-22	36	42	9			-6
YouGov/Sun	2011-06-21	37	42	8			-5
YouGov/Sun	2011-06-20	37	43	9			-6
Ipsos-MORI/Reuters	2011-06-19	37	39	11			-2
ICM/Guardian	2011-06-19	37	39	12			-2
YouGov/Sunday Times	2011-06-17	37	42	10			-5
ComRes/Independent on Sunday (O)	2011-06-16	37	37	11			0
YouGov/Sun	2011-06-16	37	43	9			-6
YouGov/Sun	2011-06-15	36	42	9			-6
YouGov/Sun	2011-06-14	37	42	10			-5
YouGov/Sun	2011-06-13	37	42	10			-5
Populus/Times	2011-06-12	39	40	9			-1
YouGov/Sunday Times	2011-06-10	37	42	9			-5
YouGov/Sun	2011-06-09	37	43	8			-6
YouGov/Sun	2011-06-08	37	42	9			-5
YouGov/Sun	2011-06-07	36	44	8			-8
YouGov/Sun	2011-06-06	37	43	9			-6
YouGov/Sunday Times	2011-06-03	37	42	9			-5
YouGov/Sun	2011-06-02	36	42	9			-6
YouGov/Sun	2011-06-01	39	41	9			-2
YouGov/Sun	2011-05-31	37	42	9			-5
ComRes/Independent	2011-05-29	37	37	12			0
YouGov/Sunday Times	2011-05-27	37	43	9			-6
YouGov/Sun	2011-05-26	37	43	8			-6
YouGov/Sun	2011-05-25	37	41	10			-4
Ipsos-MORI/Reuters	2011-05-24	35	42	10			-7
YouGov/Sun	2011-05-24	38	42	9			-4
YouGov/Sun	2011-05-23	38	42	10			-4
YouGov/Sunday Times	2011-05-20	37	42	8			-5
YouGov/Sun	2011-05-19	38	40	10			-2
YouGov/Sun	2011-05-18	36	42	9			-6
YouGov/Sun	2011-05-17	39	41	9			-2
YouGov/Sun	2011-05-16	38	41	10			-3
ComRes/Independent on Sunday (O)	2011-05-15	38	39	11			-1
YouGov/Sunday Times	2011-05-13	36	41	9			-5
YouGov/Sun	2011-05-12	39	41	9			-2
YouGov/Sun	2011-05-11	36	42	8			-6
YouGov/Sun	2011-05-10	38	40	9			-2
YouGov/Sun	2011-05-09	38	42	8			-4
Opinium/	2011-05-09	35	38	9			-3
Populus/Times	2011-05-08	37	39	11			-2
YouGov/Sunday Times	2011-05-06	36	41	10			-5
YouGov/Sun	2011-05-05	37	39	10			-2
YouGov/Sun	2011-05-04	36	40	11			-4
ICM/Guardian	2011-05-03	36	37	15			-1
YouGov/Sun	2011-05-03	37	42	10			-5
Opinium/	2011-05-02	35	37	11			-2
ComRes/Independent	2011-05-01	34	37	15			-3
YouGov/Sunday Times	2011-04-29	36	41	10			-5
YouGov/Sun	2011-04-28	36	41	12			-5
YouGov/Sun	2011-04-27	36	42	10			-6
YouGov/Sun	2011-04-26	36	41	10			-5
YouGov/Sun	2011-04-21	36	42	10			-6
YouGov/Sun	2011-04-20	36	43	9			-7
YouGov/Sun	2011-04-19	36	43	9			-7
YouGov/Sun	2011-04-18	36	42	9			-6
Ipsos-MORI/Reuters	2011-04-17	40	40	9			0
ICM/Guardian	2011-04-17	35	37	15			-2
ComRes/Independent on Sunday (O)	2011-04-15	35	39	10			-4
YouGov/Sunday Times	2011-04-15	37	41	9			-4
YouGov/Sun	2011-04-14	36	42	10			-6
YouGov/Sun	2011-04-13	35	44	10			-9
YouGov/Sun	2011-04-12	37	42	9			-5
YouGov/Sun	2011-04-11	36	42	10			-6
Populus/Times	2011-04-10	36	40	11			-4
Angus Reid/	2011-04-10	31	42	11			-11
YouGov/Sunday Times	2011-04-08	36	43	9			-7
YouGov/Sun	2011-04-07	35	44	10			-9
YouGov/Sun	2011-04-06	36	42	10			-6
YouGov/Sun	2011-04-05	37	42	9			-5
YouGov/Sun	2011-04-04	37	42	9			-5
YouGov/Sunday Times	2011-04-01	36	42	11			-6
YouGov/Sun	2011-03-31	35	42	10			-7
YouGov/Sun	2011-03-30	35	45	9			-10
YouGov/Sun	2011-03-29	36	42	10			-6
Opinium/	2011-03-28	34	37	11			-3
YouGov/Sun	2011-03-28	38	44	9			-6
ComRes/Independent	2011-03-27	35	41	13			-6
Opinium/	2011-03-25	36	36	11			0
YouGov/Sunday Times	2011-03-25	38	41	11			-3
ICM/Guardian	2011-03-24	37	36	16			1
YouGov/Sun	2011-03-24	37	41	11			-4
YouGov/Sun	2011-03-23	36	42	10			-6
YouGov/Sun	2011-03-22	35	42	9			-7
Opinium/	2011-03-21	36	36	11			0
YouGov/Sun	2011-03-21	36	43	9			-7
Angus Reid/	2011-03-21	32	41	10			-9
YouGov/Sunday Times	2011-03-18	37	43	9			-6
Opinium/	2011-03-17	35	39	11			-4
YouGov/Sun	2011-03-17	35	43	10			-8
YouGov/Sun	2011-03-16	35	43	10			-8
YouGov/Sun	2011-03-15	35	45	9			-10
YouGov/Sun	2011-03-14	35	44	9			-9
Ipsos-MORI/Reuters	2011-03-13	37	41	10			-4
YouGov/Sunday Times	2011-03-11	33	44	10			-11
ComRes/Independent on Sunday (O)	2011-03-10	37	40	11			-3
YouGov/Sun	2011-03-10	34	45	9			-11
YouGov/Sun	2011-03-09	36	42	9			-6
YouGov/Sun	2011-03-08	36	44	10			-8
Opinium/	2011-03-07	36	39	9			-3
YouGov/Sun	2011-03-07	36	42	9			-6
Populus/Times	2011-03-06	35	41	11			-6
YouGov/Sunday Times	2011-03-04	35	43	10			-8
Angus Reid/	2011-03-04	33	41	10			-8
YouGov/Sun	2011-03-03	36	42	10			-6
YouGov/Sun	2011-03-02	36	41	11			-5
YouGov/Sun	2011-03-01	34	43	11			-9
YouGov/Sun	2011-02-28	36	43	10			-7
ComRes/Independent	2011-02-27	35	39	12			-4
YouGov/Sunday Times	2011-02-25	36	44	10			-8
Opinium/	2011-02-24	36	38	11			-2
YouGov/Sun	2011-02-24	38	42	10			-4
YouGov/Sun	2011-02-23	38	44	11			-6
YouGov/Sun	2011-02-22	37	43	9			-6
YouGov/Sun	2011-02-21	36	42	11			-6
ICM/Guardian	2011-02-20	35	38	18			-3
YouGov/Sunday Times	2011-02-18	37	41	10			-4
YouGov/Sun	2011-02-17	36	42	10			-6
YouGov/Sun	2011-02-16	35	45	10			-10
Opinium/	2011-02-15	35	36	12			-1
YouGov/Sun	2011-02-15	37	44	10			-7
YouGov/Sun	2011-02-14	36	44	10			-8
Ipsos-MORI/Reuters	2011-02-12	33	43	13			-10
YouGov/Sunday Times	2011-02-11	35	45	9			-10
ComRes/Independent on Sunday (O)	2011-02-10	36	42	11			-6
Angus Reid/	2011-02-10	34	40	11			-5
YouGov/Sun	2011-02-10	35	44	10			-9
YouGov/Sun	2011-02-09	36	43	10			-7
Opinium/	2011-02-08	36	38	11			-2
YouGov/Sun	2011-02-08	35	43	10			-8
YouGov/Sun	2011-02-07	37	43	9			-6
Populus/Times	2011-02-06	36	39	11			-3
YouGov/Sunday Times	2011-02-04	36	42	10			-6
YouGov/Sun	2011-02-03	37	44	9			-7
YouGov/Sun	2011-02-02	36	44	9			-8
Opinium/	2011-02-02	35	40	11			-5
YouGov/Sun	2011-02-01	39	44	8			-5
YouGov/Sun	2011-01-31	40	42	8			-2
ComRes/Independent	2011-01-30	34	43	10			-9
Angus Reid/Sunday Express	2011-01-28	32	43	11			-11
YouGov/Sunday Times	2011-01-28	39	43	8			-4
YouGov/Sun	2011-01-27	38	44	8			-6
YouGov/Sun	2011-01-26	39	41	10			-2
Opinium/	2011-01-25	34	38	12			-4
YouGov/Sun	2011-01-25	37	43	10			-6
Angus Reid/	2011-01-25	33	41	12			-8
YouGov/Sun	2011-01-24	37	42	11			-5
Ipsos-MORI/Reuters	2011-01-24	33	43	13			-10
ICM/Guardian	2011-01-23	35	39	15			-4
YouGov/Sunday Times	2011-01-21	39	43	9			-4
YouGov/Sun	2011-01-20	36	43	10			-7
YouGov/Sun	2011-01-19	37	42	9			-5
YouGov/Sun	2011-01-18	39	44	8			-5
YouGov/Sun	2011-01-17	37	42	9			-5
Opinium/	2011-01-14	35	38	12			-3
YouGov/Sunday Times	2011-01-14	37	43	9			-6
ComRes/Independent on Sunday (O)	2011-01-13	36	40	10			-4
YouGov/Sun	2011-01-13	41	41	8			0
YouGov/Sun	2011-01-12	36	43	9			-7
YouGov/Sun	2011-01-11	40	41	7			-1
YouGov/Sun	2011-01-10	40	43	8			-3
ComRes/Independent	2011-01-09	34	42	12			-8
YouGov/Sunday Times	2011-01-07	38	41	10			-3
Angus Reid/	2011-01-06	35	40	12			-5
YouGov/Sun	2011-01-06	39	43	7			-4
Opinium/	2011-01-05	37	39	11			-2
YouGov/Sun	2011-01-05	40	41	10			-1
YouGov/Sun	2011-01-04	40	42	8			-2
YouGov/Sun	2010-12-23	39	41	9			-2
YouGov/Sun	2010-12-22	41	42	8			-1
YouGov/Sun	2010-12-21	40	42	9			-2
Angus Reid/	2010-12-20	35	41	9			-6
YouGov/Sun	2010-12-20	40	43	8			-3
YouGov/Sunday Times	2010-12-19	39	42	9			-3
ICM/Guardian	2010-12-19	37	39	13			-2
Opinium/	2010-12-17	37	37	12			0
ComRes/Independent on Sunday (O)	2010-12-16	37	39	11			-2
YouGov/Sun	2010-12-16	41	41	9			0
YouGov/Sun	2010-12-15	42	40	8			2
YouGov/Sun	2010-12-14	39	42	9			-3
YouGov/Sun	2010-12-13	41	42	9			-1
Ipsos-MORI/Reuters	2010-12-12	38	39	11			-1
Opinium/	2010-12-10	37	36	12			1
YouGov/Sunday Times	2010-12-10	40	42	9			-2
YouGov/Sun	2010-12-09	41	39	11			2
Opinium/	2010-12-08	38	37	11			1
YouGov/Sun	2010-12-08	41	41	8			0
YouGov/Sun	2010-12-07	42	39	9			3
YouGov/Sun	2010-12-06	42	39	10			3
YouGov/Sunday Times	2010-12-03	41	39	10			2
Opinium/	2010-12-02	38	34	13			4
YouGov/Sun	2010-12-02	40	40	11			0
YouGov/Sun	2010-12-01	41	38	11			3
YouGov/Sun	2010-11-30	40	40	10			0
Angus Reid/PoliticalBetting	2010-11-30	35	40	13			-5
YouGov/Sun	2010-11-29	40	40	10			0
ComRes/Independent	2010-11-29	36	40	12			-4
Opinium/	2010-11-26	37	35	14			2
YouGov/Sunday Times	2010-11-26	40	40	9			0
YouGov/Sun	2010-11-25	42	39	10			3
YouGov/Sun	2010-11-24	40	40	9			0
YouGov/Sun	2010-11-23	42	40	10			2
YouGov/Sun	2010-11-22	41	38	11			3
ICM/Guardian	2010-11-21	36	38	14			-2
ComRes/Independent on Sunday (O)	2010-11-19	37	38	13			-1
YouGov/Sunday Times	2010-11-19	40	38	11			2
YouGov/Sun	2010-11-18	40	40	11			0
Opinium/	2010-11-17	38	34	13			4
YouGov/Sun	2010-11-17	40	40	11			0
YouGov/Sun	2010-11-16	37	42	10			-5
YouGov/Sun	2010-11-15	40	42	10			-2
Ipsos-MORI/Reuters	2010-11-14	36	39	14			-3
YouGov/Sunday Times	2010-11-12	39	41	10			-2
YouGov/Sun	2010-11-11	40	40	10			0
YouGov/Sun	2010-11-10	42	37	11			5
Opinium/	2010-11-09	39	33	14			6
YouGov/Sun	2010-11-09	40	39	13			1
YouGov/Sun	2010-11-08	42	39	11			3
YouGov/Sunday Times	2010-11-05	40	39	12			1
YouGov/Sun	2010-11-04	40	39	11			1
YouGov/Sun	2010-11-03	40	40	9			0
YouGov/Sun	2010-11-02	41	40	11			1
YouGov/Sun	2010-11-01	41	39	11			2
ComRes/Independent	2010-10-30	35	37	16			-2
Opinium/	2010-10-29	38	35	13			3
YouGov/Sunday Times	2010-10-29	42	37	13			5
Angus Reid/	2010-10-28	35	37	15			-2
YouGov/Sun	2010-10-28	41	39	11			2
YouGov/Sun	2010-10-27	41	39	12			2
YouGov/Sun	2010-10-26	40	38	12			2
YouGov/Sun	2010-10-25	40	40	11			0
Populus/Times	2010-10-24	37	38	15			-1
ICM/Guardian	2010-10-24	39	36	16			3
YouGov/Sunday Times	2010-10-22	41	40	10			1
ICM/News of the World	2010-10-22	40	36	16			4
YouGov/Sun	2010-10-21	41	40	10			1
YouGov/Sun	2010-10-20	41	39	11			2
YouGov/Sun	2010-10-19	42	39	11			3
YouGov/Sun	2010-10-18	41	39	12			2
Ipsos-MORI/Reuters	2010-10-17	39	36	14			3
YouGov/Sunday Times	2010-10-17	41	39	11			2
